gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,16,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,4.696,auto,0.0,37.51,2398.64
gfx950,256,16,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,339,1,6.3814,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x9_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,55.21,3494.32
gfx950,256,16,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,218,1,10.9363,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,75.17,4729.6
gfx950,256,16,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,143,1,12.6732,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x6_ks1_w1x2x2_bias0_ktail0_gm0_pft_gfx950,0.0047,76.45,4806.98
gfx950,256,32,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.0803,auto,0.0,69.35,2267.18
gfx950,256,32,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,6.8576,auto,0.0,102.75,3292.28
gfx950,256,32,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,929,1,12.3754,flydsl_hgemm_abf16_wbf16_bf16_t32x32x128x4_ks1_w2x1x2_bias0_ktail0_gm0_pft_gfx950,0.0049,132.86,4207.41
gfx950,256,32,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,13.6687,auto,0.0,141.77,4483.55
gfx950,256,64,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1112,1,6.0066,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,117.31,2002.11
gfx950,256,64,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.3942,auto,0.0,167.89,2755.98
gfx950,256,64,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,14.895,auto,0.0,220.77,3541.89
gfx950,256,64,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2433,2,17.4761,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks2_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.005,221.76,3548.47
gfx950,256,128,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2824,1,6.8741,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,205.01,1897.22
gfx950,256,128,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3201,1,10.5058,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w2x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,268.29,2308.09
gfx950,256,128,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2787,1,19.5768,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x7_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,335.94,2765.15
gfx950,256,128,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2378,1,17.418,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,445.0,3644.02
gfx950,256,256,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.9502,auto,0.0,314.92,1684.13
gfx950,256,256,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,13.5351,auto,0.0,416.48,1956.14
gfx950,256,256,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,26.3955,auto,0.0,498.32,2155.11
gfx950,256,256,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2009,1,30.0604,flydsl_hgemm_abf16_wbf16_bf16_t96x64x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,515.7,2208.49
gfx950,256,512,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,47,1,12.1933,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x3_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,462.31,1569.43
gfx950,256,512,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,49,1,18.727,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x3_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,602.03,1651.79
gfx950,256,512,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,50,1,35.3194,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x4_ks1_w4x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,744.82,1766.46
gfx950,256,512,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,38,1,41.8549,flydsl_hgemm_abf16_wbf16_bf16_t128x128x64x3_ks1_w4x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,740.76,1725.5
